ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
EAEA0-8FB5-7227-89C1-0_t,t_1904-Artefact05_fig43-Howitt-The_native_tribes-p696.JPG,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-8FB5-7227-89C1-0.jpg
EAEA0-8FB5-7227-89C1-0_w,w_1904-Artefact05_fig43-Howitt-The_native_tribes-p696.JPG,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-8FB5-7227-89C1-0.jpg
EAEA0-E69F-7E91-91AD-0,y-1889-Artefact_fig08-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_E.zip,amsd/EAEA0-E/EAEA0-E69F-7E91-91AD-0.png
EAEA0-E69F-7E91-91AD-0_t,t_y-1889-Artefact_fig08-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E69F-7E91-91AD-0.jpg
EAEA0-E69F-7E91-91AD-0_w,w_y-1889-Artefact_fig08-Howitt-Notes_on_Australian_message_sticks-p330-331_black.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E69F-7E91-91AD-0.jpg
EAEA0-9245-A8B2-6B4C-0,1915_Weule_p.64_02.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_9.zip,amsd/EAEA0-9/EAEA0-9245-A8B2-6B4C-0.png
EAEA0-9245-A8B2-6B4C-0_t,t_1915_Weule_p.64_02.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-9245-A8B2-6B4C-0.jpg
EAEA0-9245-A8B2-6B4C-0_w,w_1915_Weule_p.64_02.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-9245-A8B2-6B4C-0.jpg
EAEA0-076A-EEDD-2BDD-0,1915_Weule_p.64_01.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_0.zip,amsd/EAEA0-0/EAEA0-076A-EEDD-2BDD-0.png
EAEA0-076A-EEDD-2BDD-0_t,t_1915_Weule_p.64_01.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-076A-EEDD-2BDD-0.jpg
EAEA0-076A-EEDD-2BDD-0_w,w_1915_Weule_p.64_01.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-076A-EEDD-2BDD-0.jpg
EAEA0-E9E2-3278-1ABA-0,1904-Artefact07_fig44-Howitt-The_native_tribes-p704.JPG,,image/png,https://zenodo.org/records/21504350/files/amsd_media_E.zip,amsd/EAEA0-E/EAEA0-E9E2-3278-1ABA-0.png
EAEA0-E9E2-3278-1ABA-0_t,t_1904-Artefact07_fig44-Howitt-The_native_tribes-p704.JPG,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E9E2-3278-1ABA-0.jpg
EAEA0-E9E2-3278-1ABA-0_w,w_1904-Artefact07_fig44-Howitt-The_native_tribes-p704.JPG,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E9E2-3278-1ABA-0.jpg
