pk,name,oid,path
113,y-1918-sketch_Hamnyn_Harris_Fig9_black.png,EAEA0-06EA-C6CC-AF13-0,y_1918_sketch_Hamnyn_Harris_Fig9_black.png
114,y-1918-sketch_Hamnyn_Harris_Fig9_black_01.png,EAEA0-3220-34A5-E322-0,y_1918_sketch_Hamnyn_Harris_Fig9_black_01.png
115,y-1918-sketch_Hamnyn_Harris_Fig9_black_02.png,EAEA0-D002-B029-04FC-0,y_1918_sketch_Hamnyn_Harris_Fig9_black_02.png
116,1918-sketch_Hamnyn_Harris_Fig10.png,EAEA0-12E0-D36D-5745-0,1918_sketch_Hamnyn_Harris_Fig10.png
117,1918-sketch_Hamnyn_Harris_Fig11.png,EAEA0-0C3C-9C16-D1F1-0,1918_sketch_Hamnyn_Harris_Fig11.png
118,1918-sketch_Hamnyn_Harris_Fig12_01.png,EAEA0-F460-7915-A453-0,1918_sketch_Hamnyn_Harris_Fig12_01.png
119,1918-sketch_Hamnyn_Harris_Fig12_02.png,EAEA0-9C4D-D72B-6AC8-0,1918_sketch_Hamnyn_Harris_Fig12_02.png
120,1940_Frank_Fig.31.png,EAEA0-41BB-6E2A-16A0-0,1940_Frank_Fig.31.png
121,1918-sketch_Hamnyn_Harris_Fig13.png,EAEA0-F92E-BB83-CDE6-0,1918_sketch_Hamnyn_Harris_Fig13.png
122,y-1918-sketch_Hamnyn_Harris_Fig13_black.png,EAEA0-8670-A2C3-22D7-0,y_1918_sketch_Hamnyn_Harris_Fig13_black.png
123,y-1918-sketch_Hamnyn_Harris_Fig13_black_01.png,EAEA0-DEA2-D6F2-31A8-0,y_1918_sketch_Hamnyn_Harris_Fig13_black_01.png
124,y-1918-sketch_Hamnyn_Harris_Fig13_black_02.png,EAEA0-7A32-5655-0103-0,y_1918_sketch_Hamnyn_Harris_Fig13_black_02.png
125,1918-sketch_Hamnyn_Harris_Fig14.png,EAEA0-F723-C824-6903-0,1918_sketch_Hamnyn_Harris_Fig14.png
126,y-1918-sketch_Hamnyn_Harris_Fig14_black.png,EAEA0-E431-1BCF-6910-0,y_1918_sketch_Hamnyn_Harris_Fig14_black.png
127,y-1918-sketch_Hamnyn_Harris_Fig14_black_01.png,EAEA0-6237-87A5-B951-0,y_1918_sketch_Hamnyn_Harris_Fig14_black_01.png
128,y-1918-sketch_Hamnyn_Harris_Fig14_black_02.png,EAEA0-FEBD-CCCD-E0AA-0,y_1918_sketch_Hamnyn_Harris_Fig14_black_02.png
129,1918-sketch_Hamnyn_Harris_Fig15.png,EAEA0-8262-AF2E-4DAC-0,1918_sketch_Hamnyn_Harris_Fig15.png
130,1918-sketch_Hamnyn_Harris_Fig16.png,EAEA0-D33C-320F-68B4-0,1918_sketch_Hamnyn_Harris_Fig16.png
131,1918-sketch_Hamnyn_Harris_Fig17.png,EAEA0-765F-9D85-206B-0,1918_sketch_Hamnyn_Harris_Fig17.png
132,1918-sketch_Hamnyn_Harris_Fig18.png,EAEA0-1270-40D9-4CD5-0,1918_sketch_Hamnyn_Harris_Fig18.png
133,1918-sketch_Hamnyn_Harris_Fig19.png,EAEA0-C1AA-75D3-304E-0,1918_sketch_Hamnyn_Harris_Fig19.png
134,1918-sketch_Hamnyn_Harris_Fig20.png,EAEA0-E7BE-7658-AEAE-0,1918_sketch_Hamnyn_Harris_Fig20.png
135,1918-sketch_Hamnyn_Harris_Fig21.png,EAEA0-1DB6-E4FA-BA58-0,1918_sketch_Hamnyn_Harris_Fig21.png
136,1918-sketch_Hamnyn_Harris_Fig22.png,EAEA0-CE60-0DFD-2384-0,1918_sketch_Hamnyn_Harris_Fig22.png
137,1940_Frank_Fig.22.png,EAEA0-DB4D-376C-C7F3-0,1940_Frank_Fig.22.png
138,1918-sketch_Hamnyn_Harris_Fig23.png,EAEA0-6531-11A1-9FA0-0,1918_sketch_Hamnyn_Harris_Fig23.png
